date,stock_code,signal
2022-01-04,32,0
2022-01-05,32,0
2022-01-06,32,1
2022-01-07,32,1
2022-01-10,32,1
2022-01-11,32,-1
2022-01-12,32,0
2022-01-13,32,0
2022-01-14,32,0
2022-01-17,32,1
2022-01-18,32,0
2022-01-19,32,0
2022-01-20,32,-1
2022-01-21,32,0
2022-01-24,32,0
2022-01-25,32,-1
2022-01-26,32,0
2022-01-27,32,-1
2022-01-28,32,1
2022-02-07,32,0
2022-02-08,32,0
2022-02-09,32,1
2022-02-10,32,-1
2022-02-11,32,0
2022-02-14,32,0
2022-02-15,32,0
2022-02-16,32,0
2022-02-17,32,0
2022-02-18,32,1
2022-02-21,32,1
2022-02-22,32,-1
2022-02-23,32,0
2022-02-24,32,-1
2022-02-25,32,1
2022-02-28,32,0
2022-03-01,32,0
2022-03-02,32,0
2022-03-03,32,0
2022-03-04,32,0
2022-03-07,32,0
2022-03-08,32,-1
2022-03-09,32,0
2022-03-10,32,0
2022-03-11,32,0
2022-03-14,32,0
2022-03-15,32,-1
2022-03-16,32,1
2022-03-17,32,0
2022-03-18,32,0
2022-03-21,32,-1
2022-03-22,32,0
2022-03-23,32,0
2022-03-24,32,0
2022-03-25,32,0
2022-03-28,32,0
2022-03-29,32,0
2022-03-30,32,0
2022-03-31,32,0
2022-04-01,32,0
2022-04-06,32,0
2022-04-07,32,0
2022-04-08,32,0
2022-04-11,32,-1
2022-04-12,32,1
2022-04-13,32,0
2022-04-14,32,0
2022-04-15,32,0
2022-04-18,32,0
2022-04-19,32,0
2022-04-20,32,0
2022-04-21,32,-1
2022-04-22,32,-1
2022-04-25,32,-1
2022-04-26,32,-1
2022-04-27,32,1
2022-04-28,32,-1
2022-04-29,32,1
2022-05-05,32,0
2022-05-06,32,0
2022-05-09,32,-1
2022-05-10,32,0
2022-05-11,32,0
2022-05-12,32,0
2022-05-13,32,0
2022-05-16,32,0
2022-05-17,32,0
2022-05-18,32,0
2022-05-19,32,0
2022-05-20,32,0
2022-05-23,32,0
2022-05-24,32,-1
2022-05-25,32,0
2022-05-26,32,0
2022-05-27,32,0
2022-05-30,32,1
2022-05-31,32,0
2022-06-01,32,0
2022-06-02,32,0
2022-06-06,32,0
2022-06-07,32,1
2022-06-08,32,0
2022-06-09,32,0
2022-06-10,32,0
2022-06-13,32,0
2022-06-14,32,0
2022-06-15,32,0
2022-06-16,32,0
2022-06-17,32,0
2022-06-20,32,0
2022-06-21,32,0
2022-06-22,32,0
2022-06-23,32,0
2022-06-24,32,0
2022-06-27,32,0
2022-06-28,32,0
2022-06-29,32,0
2022-06-30,32,0
2022-07-01,32,0
2022-07-04,32,0
2022-07-05,32,0
2022-07-06,32,0
2022-07-07,32,1
2022-07-08,32,0
2022-07-11,32,0
2022-07-12,32,0
2022-07-13,32,0
2022-07-14,32,1
2022-07-15,32,-1
2022-07-18,32,0
2022-07-19,32,0
2022-07-20,32,0
2022-07-21,32,0
2022-07-22,32,0
2022-07-25,32,0
2022-07-26,32,0
2022-07-27,32,0
2022-07-28,32,0
2022-07-29,32,0
2022-08-01,32,0
2022-08-02,32,-1
2022-08-03,32,0
2022-08-04,32,0
2022-08-05,32,1
2022-08-08,32,0
2022-08-09,32,0
2022-08-10,32,0
2022-08-11,32,0
2022-08-12,32,0
2022-08-15,32,0
2022-08-16,32,0
2022-08-17,32,0
2022-08-18,32,0
2022-08-19,32,0
2022-08-22,32,0
2022-08-23,32,0
2022-08-24,32,-1
2022-08-25,32,-1
2022-08-26,32,0
2022-08-29,32,-1
2022-08-30,32,1
2022-08-31,32,-1
2022-09-01,32,0
2022-09-02,32,0
2022-09-05,32,0
2022-09-06,32,0
2022-09-07,32,0
2022-09-08,32,0
2022-09-09,32,0
2022-09-13,32,1
2022-09-14,32,0
2022-09-15,32,0
2022-09-16,32,0
2022-09-19,32,-1
2022-09-20,32,0
2022-09-21,32,0
2022-09-22,32,0
2022-09-23,32,0
2022-09-26,32,-1
2022-09-27,32,0
2022-09-28,32,0
2022-09-29,32,0
2022-09-30,32,0
2022-10-10,32,0
2022-10-11,32,0
2022-10-12,32,1
2022-10-13,32,1
2022-10-14,32,1
2022-10-17,32,0
2022-10-18,32,0
2022-10-19,32,0
2022-10-20,32,0
2022-10-21,32,0
2022-10-24,32,0
2022-10-25,32,1
2022-10-26,32,1
2022-10-27,32,1
2022-10-28,32,1
2022-10-31,32,1
2022-11-01,32,1
2022-11-02,32,0
2022-11-03,32,-1
2022-11-04,32,0
2022-11-07,32,-1
2022-11-08,32,-1
2022-11-09,32,0
2022-11-10,32,-1
2022-11-11,32,0
2022-11-14,32,1
2022-11-15,32,0
2022-11-16,32,1
2022-11-17,32,1
2022-11-18,32,-1
2022-11-21,32,-1
2022-11-22,32,0
2022-11-23,32,1
2022-11-24,32,0
2022-11-25,32,-1
2022-11-28,32,1
2022-11-29,32,0
2022-11-30,32,-1
2022-12-01,32,0
2022-12-02,32,0
2022-12-05,32,0
2022-12-06,32,-1
2022-12-07,32,0
2022-12-08,32,-1
2022-12-09,32,0
2022-12-12,32,0
2022-12-13,32,-1
2022-12-14,32,0
2022-12-15,32,1
2022-12-16,32,0
2022-12-19,32,0
2022-12-20,32,-1
2022-12-21,32,-1
2022-12-22,32,0
2022-12-23,32,0
2022-12-26,32,1
2022-12-27,32,0
2022-12-28,32,-1
2022-12-29,32,0
2022-12-30,32,0
2023-01-03,32,1
2023-01-04,32,1
2023-01-05,32,0
2023-01-06,32,0
2023-01-09,32,0
2023-01-10,32,0
2023-01-11,32,0
2023-01-12,32,0
2023-01-13,32,-1
2023-01-16,32,1
2023-01-17,32,0
2023-01-18,32,1
2023-01-19,32,1
2023-01-20,32,1
2023-01-30,32,1
2023-01-31,32,-1
2023-02-01,32,1
2023-02-02,32,0
2023-02-03,32,1
2023-02-06,32,0
2023-02-07,32,-1
2023-02-08,32,0
2023-02-09,32,0
2023-02-10,32,0
2023-02-13,32,0
2023-02-14,32,0
2023-02-15,32,0
2023-02-16,32,0
2023-02-17,32,-1
2023-02-20,32,0
2023-02-21,32,0
2023-02-22,32,0
2023-02-23,32,-1
2023-02-24,32,0
2023-02-27,32,0
2023-02-28,32,1
2023-03-01,32,1
2023-03-02,32,0
2023-03-03,32,0
2023-03-06,32,0
2023-03-07,32,0
2023-03-08,32,1
2023-03-09,32,-1
2023-03-10,32,1
2023-03-13,32,1
2023-03-14,32,1
2023-03-15,32,0
2023-03-16,32,0
2023-03-17,32,1
2023-03-20,32,-1
2023-03-21,32,0
2023-03-22,32,0
2023-03-23,32,1
2023-03-24,32,-1
2023-03-27,32,0
2023-03-28,32,1
2023-03-29,32,-1
2023-03-30,32,-1
2023-03-31,32,0
2023-04-03,32,0
2023-04-04,32,1
2023-04-06,32,1
2023-04-07,32,0
2023-04-10,32,-1
2023-04-11,32,0
2023-04-12,32,0
2023-04-13,32,-1
2023-04-14,32,0
2023-04-17,32,0
2023-04-18,32,0
2023-04-19,32,0
2023-04-20,32,0
2023-04-21,32,-1
2023-04-24,32,-1
2023-04-25,32,0
2023-04-26,32,-1
2023-04-27,32,0
2023-04-28,32,0
2023-05-04,32,0
2023-05-05,32,1
2023-05-08,32,1
2023-05-09,32,0
2023-05-10,32,0
2023-05-11,32,-1
2023-05-12,32,0
2023-05-15,32,0
2023-05-16,32,-1
2023-05-17,32,0
2023-05-18,32,0
2023-05-19,32,0
2023-05-22,32,0
2023-05-23,32,0
2023-05-24,32,0
2023-05-25,32,0
2023-05-26,32,0
2023-05-29,32,0
2023-05-30,32,1
2023-05-31,32,1
2023-06-01,32,0
2023-06-02,32,0
2023-06-05,32,0
2023-06-06,32,-1
2023-06-07,32,0
2023-06-08,32,0
2023-06-09,32,0
2023-06-12,32,0
2023-06-13,32,0
2023-06-14,32,0
2023-06-15,32,0
2023-06-16,32,1
2023-06-19,32,0
2023-06-20,32,0
2023-06-21,32,-1
2023-06-26,32,-1
2023-06-27,32,0
2023-06-28,32,-1
2023-06-29,32,0
2023-06-30,32,0
2023-07-03,32,0
2023-07-04,32,1
2023-07-05,32,0
2023-07-06,32,-1
2023-07-07,32,-1
2023-07-10,32,0
2023-07-11,32,-1
2023-07-12,32,-1
2023-07-13,32,0
2023-07-14,32,1
2023-07-17,32,0
2023-07-18,32,-1
2023-07-19,32,0
2023-07-20,32,0
2023-07-21,32,0
2023-07-24,32,0
2023-07-25,32,0
2023-07-26,32,0
2023-07-27,32,0
2023-07-28,32,0
2023-07-31,32,0
2023-08-01,32,0
2023-08-02,32,0
2023-08-03,32,0
2023-08-04,32,1
2023-08-07,32,0
2023-08-08,32,0
2023-08-09,32,0
2023-08-10,32,0
2023-08-11,32,0
2023-08-14,32,1
2023-08-15,32,-1
2023-08-16,32,0
2023-08-17,32,1
2023-08-18,32,0
2023-08-21,32,1
2023-08-22,32,1
2023-08-23,32,-1
2023-08-24,32,-1
2023-08-25,32,-1
2023-08-28,32,0
2023-08-29,32,1
2023-08-30,32,0
2023-08-31,32,0
2023-09-01,32,-1
2023-09-04,32,1
2023-09-05,32,0
2023-09-06,32,0
2023-09-07,32,0
2023-09-08,32,0
2023-09-11,32,0
2023-09-12,32,0
2023-09-13,32,-1
2023-09-14,32,0
2023-09-15,32,0
2023-09-18,32,0
2023-09-19,32,-1
2023-09-20,32,-1
2023-09-21,32,0
2023-09-22,32,1
2023-09-25,32,0
2023-09-26,32,0
2023-09-27,32,0
2023-09-28,32,0
2023-10-09,32,0
2023-10-10,32,0
2023-10-11,32,0
2023-10-12,32,0
2023-10-13,32,0
2023-10-16,32,0
2023-10-17,32,0
2023-10-18,32,0
2023-10-19,32,0
2023-10-20,32,0
2023-10-23,32,0
2023-10-24,32,0
2023-10-25,32,0
2023-10-26,32,0
2023-10-27,32,0
2023-10-30,32,0
2023-10-31,32,0
2023-11-01,32,0
2023-11-02,32,0
2023-11-03,32,0
2023-11-06,32,1
2023-11-07,32,0
2023-11-08,32,0
2023-11-09,32,0
2023-11-10,32,0
2023-11-13,32,0
2023-11-14,32,1
2023-11-15,32,0
2023-11-16,32,0
2023-11-17,32,0
2023-11-20,32,0
2023-11-21,32,0
2023-11-22,32,0
2023-11-23,32,0
2023-11-24,32,-1
2023-11-27,32,0
2023-11-28,32,0
2023-11-29,32,0
2023-11-30,32,0
2023-12-01,32,0
2023-12-04,32,1
2023-12-05,32,0
2023-12-06,32,0
2023-12-07,32,0
2023-12-08,32,0
2023-12-11,32,1
2023-12-12,32,0
2023-12-13,32,0
2023-12-14,32,0
2023-12-15,32,0
2023-12-18,32,-1
2023-12-19,32,1
2023-12-20,32,0
2023-12-21,32,0
2023-12-22,32,-1
2023-12-25,32,0
2023-12-26,32,-1
2023-12-27,32,0
2023-12-28,32,0
2023-12-29,32,1
